mass,dispersion,kinetic_energy,mean_radius,Group_M_Crit200,Group_M_Crit500,Group_M_Mean200,Group_M_TopHat200,Group_R_Crit200,Group_R_Crit500,Group_R_Mean200,Group_R_TopHat200
417,98.60746,7577184.017578125,43.782400112034885,784.9376,532.93097,1219.9387,1002.22833,323.21155,209.3211,577.4252,445.72675
366,81.699066,15582664.453125,46.74458159191421,982.28107,789.7247,1296.2794,1139.8689,348.3142,238.63464,589.21106,465.27188
418,105.95472,17001441.359375,39.10602887203743,993.55237,787.6808,1326.0089,1191.5464,349.64017,238.43132,593.67676,472.18732
426,94.886314,8916936.31640625,44.675151265832326,501.31216,355.92532,807.2111,677.61084,278.35052,182.96857,503.16992,391.21954
423,91.47795,37896536.953125,41.45326929394412,734.90076,560.15796,1094.3876,898.46,316.20007,212.82022,556.89355,429.7953
474,142.25719,21936975.515625,53.52529565906782,894.2957,584.6579,1247.7892,1080.8802,337.57748,215.87369,581.79315,457.09528
492,349.02493,88619485.875,74.92737694865775,391.74542,258.6852,597.2379,478.29675,256.3777,164.4968,455.08044,348.32074
347,73.75443,34192843.234375,44.49852690240852,781.4906,551.53485,1293.9172,1059.6991,322.74127,211.72342,588.8545,454.10193
474,183.72475,122504307.5625,52.68919592466277,1033.4731,752.4394,1298.7656,1188.0796,354.26343,234.81671,589.5802,471.73535
384,81.274086,47505408.0,55.70525285206504,886.2879,683.974,1262.2405,1096.3702,336.56525,227.4653,584.01953,459.27087
344,85.12181,11202347.90625,51.27280599660628,661.83887,435.74612,1096.352,840.38776,305.35193,195.72714,557.20776,420.31488
345,80.977455,2563008.5375976562,47.92306965824236,775.0965,580.69965,1164.1488,969.7988,321.8604,215.38513,568.4718,440.87433
381,90.46508,9545164.72265625,45.406814561183985,860.9698,636.7695,1195.0897,1051.2183,333.33875,222.10721,573.46454,452.8885
388,88.74489,17956117.109375,50.978329112109,881.0742,550.85114,1157.5953,1037.6655,335.91632,211.63498,567.4051,450.92267
430,88.54073,11828929.62890625,48.607245413010446,682.1691,501.76712,1079.5518,895.8528,308.45123,205.1504,554.348,429.3687
488,511.4043,102553093.25,65.9085244391801,735.67,535.3273,1075.9939,917.3042,316.30475,209.631,553.7556,432.76456
327,84.71591,3473148.111328125,52.68881828496085,694.29504,460.0594,1089.0398,850.5125,310.25864,199.30258,555.97064,422.0166
434,86.89059,18339548.171875,49.138776793542846,638.1996,474.3568,981.7412,819.69385,301.6778,201.35083,537.07227,416.8373
340,89.202934,8965706.3671875,52.082107277235814,875.83813,693.23975,1190.6276,1027.2793,335.23492,228.49234,572.7615,449.41888
385,78.94855,9752507.939453125,57.91846496571171,310.3431,234.41283,581.42175,404.67715,237.2344,159.18379,451.02673,329.45526
472,88.74296,9248543.15625,52.04552169135208,621.9703,397.22318,1083.6279,941.31134,299.0957,189.77429,555.0619,436.52838
362,84.83683,91295596.8125,46.4382833463539,456.56174,343.04968,833.29474,577.6121,269.80048,180.72055,508.52283,370.9231
364,81.0375,14457160.046875,49.97085332111735,741.3738,523.05725,1132.1442,947.6385,317.12836,208.00629,563.2218,437.4867
402,90.066605,17476373.6953125,48.52094626614881,367.18967,274.78812,501.6626,445.77335,250.90282,167.84709,429.37405,340.2474
350,80.17153,3493747.16796875,46.745524309486036,375.36465,284.90298,920.38025,556.6227,252.75238,169.88382,525.648,366.37738
397,83.60121,2117412.4877929688,48.92090185873391,797.6469,602.7667,1152.2784,1012.29596,324.9569,218.08203,566.5431,447.23642
361,87.893166,18417022.77734375,43.376260788592646,579.0711,374.8074,1032.2704,881.49854,292.05487,186.1383,546.14197,427.07303
365,91.777756,9253437.939453125,44.768723987410425,708.00354,546.56714,1011.77405,885.8532,312.2977,211.08658,542.5162,427.75592
383,80.395515,6695376.349609375,48.11925696251969,502.77875,374.4366,772.3555,627.0934,278.6175,186.07874,495.8053,381.2395
320,92.36988,2335183.125,42.49500631278265,576.16785,333.37292,948.8776,784.4711,291.56232,179.00887,531.02277,410.78763
363,88.33935,9381223.11328125,58.01903984361513,529.38684,379.99628,753.53534,663.46094,283.44867,186.995,491.75964,388.46515
398,84.86082,11752504.6875,47.51346437458544,476.97122,327.79187,969.2299,732.4285,273.76364,178.00204,534.79236,401.49512
408,88.53627,2004206.765625,42.042133813889606,644.8974,481.1903,1040.4102,908.09546,302.7198,202.30792,547.567,431.31403
341,84.32055,15544555.59765625,59.21817694313757,422.45715,290.21567,841.7211,662.2333,262.91144,170.93039,510.23178,388.22696
386,93.90848,17465550.078125,58.86083502967508,614.0341,436.23495,1022.1797,871.0929,297.80988,195.7956,544.3575,425.38342
319,106.62438,4654627.1298828125,52.528800693940745,759.9399,564.57715,1052.1982,939.5917,319.757,213.37013,549.62463,436.2491
404,96.542564,26806580.4375,41.69573774258512,525.90826,375.58514,753.8919,636.0375,282.82214,186.26279,491.82864,383.0395
302,79.82594,12058416.4375,53.2723714193448,656.20636,503.987,1003.45685,804.60297,304.48605,205.45648,541.0069,414.27045
435,91.02749,32865806.484375,45.334638988167754,436.9621,329.283,591.6124,517.5454,265.8886,178.26932,453.64972,357.60373
360,92.19146,4476370.78125,49.16445417867974,587.7111,438.46085,932.47095,781.88837,293.49548,196.12877,527.9387,410.32782
370,72.70151,16319095.703125,57.790396957182686,663.31287,414.6501,1053.9553,921.5429,305.57687,192.51895,549.9379,433.43658
364,87.82433,5524620.6640625,45.739192499089334,337.20752,261.40073,538.8599,418.83267,243.8854,165.0714,439.7591,333.26044
424,392.74686,71430710.25,60.01652197650452,622.97003,368.2458,1064.5894,894.60596,299.25854,185.04616,551.7807,429.1699
340,87.27471,23029031.40625,46.56211199502767,567.9709,439.71906,838.991,705.7843,290.1772,196.318,509.67535,396.5525
350,87.09491,11977247.4609375,39.30925966623911,414.06934,311.15076,632.1636,540.916,261.15887,174.94585,463.78415,362.8992
302,82.79807,17080374.4375,43.664913074333064,522.5961,230.7218,901.3698,766.8763,282.23102,158.33951,522.0178,407.69144
355,82.309204,5809151.7041015625,52.21398560700715,786.7573,602.35486,1070.7366,929.9809,323.4762,218.02588,552.8534,434.74902
408,87.50515,46830278.25,43.981910454931636,637.7716,321.56384,954.8544,836.2673,301.599,176.87112,532.1422,419.645
281,89.17847,24519498.0,49.31232424319123,735.1672,572.6346,988.31335,878.33417,316.24896,214.38669,538.2759,426.56152
420,82.552055,8292994.3359375,50.314477348566136,296.83002,190.8138,789.01196,616.13837,233.72644,148.62714,499.3542,379.01465
384,78.420746,20348931.0,53.44497389254671,360.50812,274.17752,530.964,445.48526,249.37587,167.7246,437.5894,340.16803
344,80.42283,8363770.09375,45.525332598489875,737.3339,545.30927,1008.7368,883.58264,316.54794,210.92024,541.97437,427.39035
390,92.195496,22555403.203125,40.15110010751573,347.25183,253.71649,481.6928,418.07556,246.28506,163.44608,423.61182,333.03168
307,81.71982,6846912.470703125,48.312022454787325,780.2847,558.24396,1033.7181,921.3972,322.57565,212.57288,546.3877,433.4165
314,84.15765,2256000.767578125,46.15303919942597,590.70575,458.70038,853.3172,724.0314,293.99548,199.1001,512.5696,399.94135
317,88.74254,25983984.78125,40.11793983593484,436.7394,277.80917,963.274,824.3271,265.84784,168.46043,533.6905,417.6173
398,82.69201,17890770.0703125,51.69744651878369,512.85815,366.73682,880.49567,662.17566,280.46204,184.79697,517.9547,388.21606
321,77.9941,2765832.55078125,55.635306717188364,736.6566,614.06396,933.55084,835.4328,316.45905,219.43387,528.16406,419.48865
373,102.558846,3082230.1328125,47.24943162687251,761.3076,561.2492,983.9272,899.4857,319.936,212.96286,537.4907,429.9522
